Accuracy clean 
0.5500 @ 0.1 
0.6500 @ 0.2 
0.8000 @ 0.3 
0.9000 @ 0.4 
0.9250 @ 0.5 
0.9750 @ 0.6 
0.9750 @ 0.7 
1.0000 @ 0.8 
1.0000 @ 0.9 


Accuracy 10 db SNR 
0.5750 @ 0.1 
0.7250 @ 0.2 
0.7500 @ 0.3 
0.9000 @ 0.4 
0.9250 @ 0.5 
0.9500 @ 0.6 
0.9750 @ 0.7 
1.0000 @ 0.8 
1.0000 @ 0.9 


Accuracy 20 db SNR 
0.5500 @ 0.1 
0.6500 @ 0.2 
0.7500 @ 0.3 
0.9250 @ 0.4 
0.9000 @ 0.5 
0.9250 @ 0.6 
1.0000 @ 0.7 
1.0000 @ 0.8 
1.0000 @ 0.9 


False alarms per hour
0.1579 @ 0.1 
0.4541 @ 0.2 
1.1648 @ 0.3 
4.2052 @ 0.4 
6.5349 @ 0.5 
7.6010 @ 0.6 
9.1212 @ 0.7 
16.7617 @ 0.8 
36.4650 @ 0.9 
